TYPE;CONF_PATH;VERSION
NPM;/opt/centrale-datacore/Development/Service_People/NodeJS/Service/people/node_modules/moment/package.json;2.10.6
NPM;/opt/centrale-datacore/Development/Service_People/NodeJS/Service/people/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Development/Service_People/NodeJS/Service/people/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Development/Service_People/NodeJS/Service/people/node_modules/underscore.string/package.json;3.0.3
NPM;/opt/centrale-datacore/Development/Service_People/UnitTests/MongoDB/node_modules/hashmap/package.json;2.0.1
NPM;/opt/centrale-datacore/Development/Service_People/UnitTests/MongoDB/node_modules/jwt-simple/package.json;0.3.0
NPM;/opt/centrale-datacore/Development/Service_People/UnitTests/MongoDB/node_modules/moment/package.json;2.9.0
NPM;/opt/centrale-datacore/Development/Service_People/UnitTests/MongoDB/node_modules/node.extend/package.json;1.1.3
NPM;/opt/centrale-datacore/Development/Service_People/UnitTests/MongoDB/node_modules/password-hash/package.json;1.2.2
NPM;/opt/centrale-datacore/Development/Service_People/UnitTests/MongoDB/node_modules/token_generator/package.json;;
NPM;/opt/centrale-datacore/Development/Service_People/UnitTests/MongoDB/node_modules/toolbox/package.json;;
NPM;/opt/centrale-datacore/Development/Service_Picture/NodeJS/Service/picture/node_modules/express/package.json;4.12.4
NPM;/opt/centrale-datacore/Development/Service_Picture/NodeJS/Service/picture/node_modules/formidable/package.json;1.0.17
NPM;/opt/centrale-datacore/Development/Service_Picture/NodeJS/Service/picture/node_modules/fs/package.json;0.0.2
NPM;/opt/centrale-datacore/Development/Service_Picture/NodeJS/Service/picture/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Development/Service_Picture/NodeJS/Service/picture/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Development/Service_Picture/UnitTests/MongoDB/node_modules/hashmap/package.json;2.0.1
NPM;/opt/centrale-datacore/Development/Service_Picture/UnitTests/MongoDB/node_modules/jwt-simple/package.json;0.3.0
NPM;/opt/centrale-datacore/Development/Service_Picture/UnitTests/MongoDB/node_modules/moment/package.json;2.9.0
NPM;/opt/centrale-datacore/Development/Service_Picture/UnitTests/MongoDB/node_modules/node.extend/package.json;1.1.3
NPM;/opt/centrale-datacore/Development/Service_Picture/UnitTests/MongoDB/node_modules/password-hash/package.json;1.2.2
NPM;/opt/centrale-datacore/Development/Service_Picture/UnitTests/MongoDB/node_modules/token_generator/package.json;;
NPM;/opt/centrale-datacore/Development/Service_Picture/UnitTests/MongoDB/node_modules/toolbox/package.json;;
NPM;/opt/centrale-datacore/Development/Service_Provider/NodeJS/Service/provider/node_modules/moment/package.json;2.10.6
NPM;/opt/centrale-datacore/Development/Service_Provider/NodeJS/Service/provider/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Development/Service_Provider/NodeJS/Service/provider/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Development/Service_Provider/UnitTests/MongoDB/node_modules/hashmap/package.json;2.0.1
NPM;/opt/centrale-datacore/Development/Service_Provider/UnitTests/MongoDB/node_modules/jwt-simple/package.json;0.3.0
NPM;/opt/centrale-datacore/Development/Service_Provider/UnitTests/MongoDB/node_modules/moment/package.json;2.9.0
NPM;/opt/centrale-datacore/Development/Service_Provider/UnitTests/MongoDB/node_modules/node.extend/package.json;1.1.3
NPM;/opt/centrale-datacore/Development/Service_Provider/UnitTests/MongoDB/node_modules/password-hash/package.json;1.2.2
NPM;/opt/centrale-datacore/Development/Service_Provider/UnitTests/MongoDB/node_modules/token_generator/package.json;;
NPM;/opt/centrale-datacore/Development/Service_Provider/UnitTests/MongoDB/node_modules/toolbox/package.json;;
NPM;/opt/centrale-datacore/Development/Tool_TokenGenerator/NodeJS/Tool/token_generator/node_modules/hashmap/package.json;2.0.1
NPM;/opt/centrale-datacore/Development/Tool_TokenGenerator/NodeJS/Tool/token_generator/node_modules/jwt-simple/package.json;0.3.0
NPM;/opt/centrale-datacore/Development/Tool_TokenGenerator/NodeJS/Tool/token_generator/node_modules/moment/package.json;2.9.0
NPM;/opt/centrale-datacore/Development/Tool_TokenGenerator/NodeJS/Tool/token_generator/node_modules/node.extend/package.json;1.1.3
NPM;/opt/centrale-datacore/Development/Tool_TokenGenerator/NodeJS/Tool/token_generator/node_modules/password-hash/package.json;1.2.2
NPM;/opt/centrale-datacore/Development/Tool_TokenGenerator/NodeJS/Tool/token_generator/node_modules/token_generator/package.json;;
NPM;/opt/centrale-datacore/Development/Tool_TokenGenerator/NodeJS/Tool/token_generator/node_modules/toolbox/package.json;;
NPM;/opt/centrale-datacore/Integration/packages/Applications/Application_Administrator/home/app_administrator/application/node_modules/csvwriter/package.json;1.1.0
NPM;/opt/centrale-datacore/Integration/packages/Applications/Application_Administrator/home/app_administrator/application/node_modules/formidable/package.json;1.0.17
NPM;/opt/centrale-datacore/Integration/packages/Applications/Application_Administrator/home/app_administrator/application/node_modules/fs/package.json;0.0.2
NPM;/opt/centrale-datacore/Integration/packages/Applications/Application_Administrator/home/app_administrator/application/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Integration/packages/Applications/Application_Administrator/home/app_administrator/application/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Integration/packages/Applications/Application_Checker/home/app_checker/application/node_modules/connect-mongo/package.json;0.8.2
NPM;/opt/centrale-datacore/Integration/packages/Applications/Application_Checker/home/app_checker/application/node_modules/express-session/package.json;1.11.3
NPM;/opt/centrale-datacore/Integration/packages/Applications/Application_Checker/home/app_checker/application/node_modules/moment/package.json;2.10.6
NPM;/opt/centrale-datacore/Integration/packages/Applications/Application_Checker/home/app_checker/application/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Integration/packages/Applications/Application_Checker/home/app_checker/application/node_modules/underscore/package.json;1.8.3
